FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.56556,0.19908,4918.06348,0.28857,11637,1,0.65770,0.28914,1,0.48030,0.07705,1,0.56900,0.18309,1,0.28873,0.55260,16.96689,1.08878,1,0.53009,0.58134,18.05178,1.08878,1,-0.05516,-0.01127,0.62084,0.00390,1,0.00749,-0.01843,0.67504,0.00379,1,0,0.00000,28
0.56575,0.19840,4918.06348,0.29443,11637,1,0.66229,0.30353,1,0.48581,0.03289,1,0.57405,0.16821,1,0.28915,0.55291,17.16308,1.08878,1,0.53035,0.58171,18.39363,1.08878,1,-0.05516,-0.01127,0.62084,0.00380,1,0.00749,-0.01843,0.67504,0.00380,1,0,0.00000,28
0.55530,0.22504,4919.10938,0.15332,11639,1,0.60538,0.23138,1,0.45977,0.08276,1,0.53258,0.15707,1,0.30450,0.54630,19.16290,1.05767,1,0.54084,0.59065,19.75262,1.06576,1,-0.04847,-0.01047,0.64641,0.00420,1,0.01049,-0.02048,0.67924,0.00426,1,0,0.00000,28
0.55438,0.22195,4919.10938,0.15967,11639,1,0.60435,0.21951,1,0.45991,0.07611,1,0.53213,0.14781,1,0.30455,0.54642,19.61798,1.07279,1,0.54095,0.59057,19.61131,1.07279,1,-0.04847,-0.01047,0.64641,0.00418,1,0.01020,-0.01981,0.65709,0.00423,1,0,0.00000,28
0.55430,0.21953,4919.10938,0.16650,11639,1,0.61777,0.24146,1,0.48685,0.07637,1,0.55231,0.15891,1,0.30463,0.54637,19.54721,1.06488,1,0.54099,0.59062,19.58439,1.05680,1,-0.04847,-0.01047,0.64641,0.00415,1,0.01020,-0.01981,0.65709,0.00424,1,0,0.00000,28
0.55458,0.21791,4919.10938,0.17383,11639,1,0.63294,0.25019,1,0.49122,0.10134,1,0.56208,0.17577,1,0.30470,0.54637,19.47703,1.04889,1,0.54103,0.59063,19.51329,1.04080,1,-0.04847,-0.01047,0.64641,0.00414,1,0.01020,-0.01981,0.65709,0.00426,1,0,0.00000,28
0.55485,0.21690,4919.10938,0.17969,11639,1,0.63365,0.26265,1,0.49043,0.11650,1,0.56204,0.18958,1,0.30482,0.54632,19.68087,1.03290,1,0.54112,0.59070,19.43878,1.02481,1,-0.04847,-0.01047,0.64641,0.00420,1,0.01027,-0.01981,0.65530,0.00427,1,0,0.00000,28
0.55925,0.18771,4919.10938,0.17969,11639,0,0.64610,0.23396,1,0.52028,0.10846,1,0.58319,0.17121,1,0.30495,0.54622,19.54160,1.02481,1,0.54142,0.59074,19.71365,1.02481,1,-0.04847,-0.01047,0.64641,0.00418,1,0.01027,-0.01981,0.65530,0.00418,1,0,0.00000,28
0.56193,0.18563,4919.10938,0.17969,11639,0,0.64775,0.22959,1,0.48146,0.13751,1,0.56461,0.18355,1,0.30500,0.54623,19.53183,1.02481,1,0.54158,0.59082,19.69263,1.02481,1,-0.04847,-0.01047,0.64641,0.00418,1,0.01027,-0.01981,0.65530,0.00423,1,0,0.00000,28
0.56282,0.18494,4919.10938,0.17969,11639,0,0.64775,0.22959,1,0.48146,0.13751,1,0.56461,0.18355,1,0.30499,0.54612,19.11302,1.02481,1,0.54172,0.59075,19.47908,1.02481,1,-0.04847,-0.01047,0.64641,0.00425,1,0.01038,-0.01984,0.65631,0.00426,1,0,0.00000,28
