FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.61309,0.43833,6545.55713,0.40869,15259,0,0.61155,0.44316,1,0.60773,0.40066,1,0.60964,0.42191,1,0.39406,0.61858,27.85536,0.94336,1,0.63541,0.63131,29.91426,0.93757,1,-0.02568,-0.02426,0.63431,0.00624,1,0.03117,-0.02570,0.60962,0.00630,1,0,0.00000,8
0.56851,0.36457,6546.19971,0.75049,15261,1,0.58762,0.27653,1,0.55402,0.31786,1,0.57082,0.29720,1,0.36367,0.62406,29.47851,0.92455,1,0.60731,0.62865,30.75161,0.91876,1,-0.03209,-0.02481,0.61941,0.00630,1,0.02491,-0.02547,0.61307,0.00646,1,0,0.00000,7
0.56787,0.33737,6546.19971,0.75049,15261,0,0.58853,0.34461,1,0.55108,0.31140,1,0.56981,0.32801,1,0.36365,0.62407,29.49863,0.91248,1,0.60726,0.62856,30.66092,0.90669,1,-0.03209,-0.02481,0.61941,0.00629,1,0.02491,-0.02547,0.61307,0.00646,1,0,0.00000,7
0.56894,0.33640,6546.19971,0.75049,15261,0,0.58971,0.35410,1,0.55033,0.31676,1,0.57002,0.33543,1,0.36365,0.62407,29.49863,0.90040,1,0.60726,0.62856,30.66092,0.90040,1,-0.03209,-0.02481,0.61941,0.00629,1,0.02520,-0.02577,0.62133,0.00646,1,0,0.00000,7
0.56826,0.32759,6546.19971,0.75049,15261,0,0.58634,0.30483,1,0.54744,0.31512,1,0.56689,0.30998,1,0.36362,0.62410,29.56023,0.90040,1,0.60723,0.62853,30.72193,0.90619,1,-0.03209,-0.02481,0.61941,0.00627,1,0.02520,-0.02577,0.62133,0.00643,1,0,0.00000,7
0.56678,0.33041,6546.95654,0.02051,15262,1,0.58060,0.31684,1,0.54407,0.36089,1,0.56234,0.33886,1,0.36362,0.62408,29.62401,0.90619,1,0.60718,0.62851,30.75805,0.91198,1,-0.03209,-0.02481,0.61941,0.00627,1,0.02520,-0.02577,0.62133,0.00640,1,0,0.00000,7
0.56589,0.33117,6546.95654,0.02734,15262,1,0.57998,0.31210,1,0.54472,0.35629,1,0.56235,0.33419,1,0.36360,0.62410,29.56838,0.91198,1,0.60717,0.62849,30.72834,0.91777,1,-0.03406,-0.02630,0.65552,0.00627,1,0.02520,-0.02577,0.62133,0.00639,1,0,0.00000,7
0.56414,0.33501,6546.95654,0.03320,15262,1,0.57277,0.29815,1,0.53799,0.41033,1,0.55538,0.35424,1,0.36335,0.62417,29.32671,0.91777,1,0.60710,0.62851,30.74179,0.91777,1,-0.03406,-0.02630,0.65552,0.00627,1,0.02520,-0.02577,0.62133,0.00640,1,0,0.00000,7
0.56387,0.33908,6546.95654,0.04004,15262,1,0.59237,0.32945,1,0.53206,0.39749,1,0.56222,0.36347,1,0.36331,0.62419,29.40147,0.91777,1,0.60704,0.62844,30.73397,0.91777,1,-0.03406,-0.02630,0.65552,0.00625,1,0.02520,-0.02577,0.62133,0.00641,1,0,0.00000,7
0.56366,0.34267,6546.95654,0.04688,15262,1,0.59290,0.33396,1,0.53150,0.40174,1,0.56220,0.36785,1,0.36332,0.62391,30.23502,0.91211,1,0.60700,0.62839,30.79092,0.91211,1,-0.03201,-0.02468,0.61514,0.00618,1,0.02533,-0.02591,0.62690,0.00641,1,0,0.00000,7
0.56580,0.34342,6546.95654,0.05371,15262,1,0.58802,0.30323,1,0.57791,0.39554,1,0.58296,0.34939,1,0.36325,0.62418,29.33351,0.90645,1,0.60690,0.62830,30.67701,0.90645,1,-0.03201,-0.02468,0.61514,0.00630,1,0.02533,-0.02591,0.62690,0.00643,1,0,0.00000,7
0.56683,0.34628,6546.95654,0.06201,15262,1,0.58208,0.35786,1,0.57012,0.38624,1,0.57610,0.37205,1,0.36318,0.62385,30.18914,0.90080,1,0.60675,0.62830,30.80629,0.90080,1,-0.03201,-0.02468,0.61514,0.00618,1,0.02533,-0.02591,0.62690,0.00642,1,0,0.00000,7
0.56764,0.34883,6546.95654,0.06738,15262,1,0.58208,0.35786,1,0.56930,0.39072,1,0.57569,0.37429,1,0.36317,0.62386,30.18078,0.90080,1,0.60674,0.62827,30.91062,0.89501,1,-0.03256,-0.02507,0.62481,0.00617,1,0.02445,-0.02500,0.60607,0.00642,1,0,0.00000,7
0.56734,0.35264,6546.95654,0.07373,15262,1,0.57144,0.39596,1,0.55664,0.39312,1,0.56404,0.39454,1,0.36300,0.62410,29.15668,0.90066,1,0.60661,0.62806,31.02406,0.89487,1,-0.03256,-0.02507,0.62481,0.00627,1,0.02445,-0.02500,0.60607,0.00640,1,0,0.00000,7
0.56816,0.35534,6546.95654,0.08008,15262,1,0.60236,0.40055,1,0.55367,0.37507,1,0.57802,0.38781,1,0.36296,0.62397,29.41228,0.90053,1,0.60657,0.62797,31.09391,0.89474,1,-0.03256,-0.02507,0.62481,0.00626,1,0.02445,-0.02500,0.60607,0.00638,1,0,0.00000,7
0.56887,0.35733,6546.95654,0.08691,15262,1,0.60185,0.39602,1,0.55443,0.37019,1,0.57814,0.38311,1,0.36294,0.62397,29.44127,0.90669,1,0.60657,0.62795,30.87602,0.90090,1,-0.03351,-0.02572,0.64219,0.00625,1,0.02445,-0.02500,0.60607,0.00640,1,0,0.00000,7
0.56876,0.35770,6546.95654,0.09375,15262,1,0.58624,0.36794,1,0.54804,0.35796,1,0.56714,0.36295,1,0.36281,0.62378,29.45926,0.90718,1,0.60645,0.62769,30.80641,0.90718,1,-0.03351,-0.02572,0.64219,0.00622,1,0.02445,-0.02500,0.60607,0.00646,1,0,0.00000,7
0.56920,0.35626,6546.95654,0.10010,15262,1,0.60892,0.33773,1,0.54288,0.33150,1,0.57590,0.33462,1,0.36279,0.62378,29.38329,0.91347,1,0.60640,0.62759,30.94932,0.91347,1,-0.03351,-0.02572,0.64219,0.00621,1,0.02445,-0.02500,0.60607,0.00644,1,0,0.00000,7
0.56961,0.35512,6546.95654,0.10791,15262,1,0.60935,0.34223,1,0.54290,0.33139,1,0.57613,0.33681,1,0.36279,0.62377,29.39352,0.90781,1,0.60636,0.62754,30.99156,0.91360,1,-0.03198,-0.02448,0.61113,0.00622,1,0.02817,-0.02881,0.69964,0.00640,1,0,0.00000,7
0.56971,0.35610,6546.95654,0.11426,15262,1,0.60457,0.34073,1,0.53813,0.40484,1,0.57135,0.37279,1,0.36269,0.62353,29.83635,0.90166,1,0.60631,0.62743,30.85046,0.90745,1,-0.03198,-0.02448,0.61113,0.00621,1,0.02817,-0.02881,0.69964,0.00644,1,0,0.00000,7
