FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.48248,0.18267,251.62787,0.15385,808,1,0.54624,0.21425,1,0.42028,0.07765,1,0.48326,0.14595,1,0.27609,0.60832,29.52888,0.97425,1,0.56096,0.60645,30.21517,0.98144,1,-0.05439,-0.02257,0.63630,0.00522,1,0.01541,-0.02296,0.65262,0.00539,1,0,0.00000,5
0.48200,0.18071,251.62787,0.16045,808,1,0.54591,0.20259,1,0.39481,0.06461,1,0.47036,0.13360,1,0.27611,0.60834,29.61960,0.98144,1,0.56099,0.60640,30.28712,0.98863,1,-0.05439,-0.02257,0.63630,0.00521,1,0.01541,-0.02296,0.65262,0.00541,1,0,0.00000,5
0.48153,0.17878,251.62787,0.16739,808,1,0.54497,0.19639,1,0.39481,0.06461,1,0.46989,0.13050,1,0.27613,0.60830,29.64884,0.98863,1,0.56103,0.60644,30.19552,0.98863,1,-0.05439,-0.02257,0.63630,0.00521,1,0.01516,-0.02256,0.63986,0.00541,1,0,0.00000,5
0.47661,0.14980,251.62787,0.16739,808,0,0.55217,0.19468,1,0.39873,0.07381,1,0.47545,0.13424,1,0.27620,0.60826,29.35399,0.98863,1,0.56113,0.60649,30.25919,0.98144,1,-0.05439,-0.02257,0.63630,0.00522,1,0.01516,-0.02256,0.63986,0.00543,1,0,0.00000,5
0.47837,0.14483,251.62787,0.16739,808,0,0.55440,0.19557,1,0.40587,0.08416,1,0.48014,0.13987,1,0.27618,0.60825,29.59427,0.98144,1,0.56117,0.60647,30.41027,0.97425,1,-0.05439,-0.02257,0.63630,0.00521,1,0.01516,-0.02256,0.63986,0.00541,1,0,0.00000,5
0.47914,0.14547,251.62787,0.16739,808,0,0.55528,0.20183,1,0.40608,0.09163,1,0.48068,0.14673,1,0.27619,0.60826,29.54270,0.97425,1,0.56120,0.60649,30.33799,0.96706,1,-0.05439,-0.02257,0.63630,0.00521,1,0.01516,-0.02256,0.63986,0.00543,1,0,0.00000,5
0.47661,0.14556,251.80173,0.02008,809,1,0.55591,0.20600,1,0.38209,0.08569,1,0.46900,0.14585,1,0.27621,0.60824,29.37956,0.96706,1,0.56124,0.60646,30.34631,0.96706,1,-0.05439,-0.02257,0.63630,0.00521,1,0.01516,-0.02256,0.63986,0.00543,1,0,0.00000,5
0.47760,0.14592,251.80173,0.02689,809,1,0.55518,0.20181,1,0.40794,0.09293,1,0.48156,0.14737,1,0.27621,0.60823,29.51079,0.96706,1,0.56125,0.60642,30.18508,0.96706,1,-0.05439,-0.02257,0.63630,0.00520,1,0.01516,-0.02256,0.63986,0.00544,1,0,0.00000,5
0.47826,0.14616,251.80173,0.03348,809,1,0.55518,0.20181,1,0.40794,0.09293,1,0.48156,0.14737,1,0.27621,0.60820,29.40032,0.96706,1,0.56127,0.60646,30.30562,0.96706,1,-0.05439,-0.02257,0.63630,0.00523,1,0.01516,-0.02256,0.63986,0.00545,1,0,0.00000,5
0.47710,0.14620,251.80173,0.04041,809,1,0.55526,0.20801,1,0.38511,0.08481,1,0.47018,0.14641,1,0.27626,0.60822,29.50487,0.96706,1,0.56126,0.60652,30.36082,0.96706,1,-0.05439,-0.02257,0.63630,0.00525,1,0.01516,-0.02256,0.63986,0.00541,1,0,0.00000,5
