FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.83972,0.30175,366.24805,0.02069,1295,1,0.83466,0.29172,1,1.08596,0.96521,0,0.83466,0.29172,1,0.72458,0.44736,27.05137,0.98091,1,0.73180,0.45281,4.97198,0.98091,0,0.05611,0.00920,0.65587,0.00502,1,0.05480,0.00907,0.63668,0.00179,1,0,0.00000,31
0.83694,0.29312,366.24805,0.02740,1295,1,0.82581,0.25859,1,1.08596,0.96521,0,0.82581,0.25859,1,0.72450,0.44723,27.30822,0.98793,1,0.73180,0.45281,4.97198,0.98793,0,0.05611,0.00920,0.65587,0.00500,1,0.05480,0.00907,0.63668,0.00179,1,0,0.00000,31
0.83509,0.28736,366.24805,0.03363,1295,1,0.82581,0.25859,1,1.08596,0.96521,0,0.82581,0.25859,1,0.72462,0.44716,26.43276,0.98793,1,0.73180,0.45281,4.97198,0.98793,0,0.05370,0.00883,0.62934,0.00509,1,0.05480,0.00907,0.63668,0.00179,1,0,0.00000,31
0.84154,0.28452,366.24805,0.04056,1295,1,0.88030,0.26745,1,1.08596,0.96521,0,0.88030,0.26745,1,0.72425,0.44743,27.17584,0.98091,1,0.73180,0.45281,4.97198,0.98091,0,0.05370,0.00883,0.62934,0.00503,1,0.05480,0.00907,0.63668,0.00179,1,0,0.00000,31
0.84587,0.28398,366.24805,0.04709,1295,1,0.87613,0.28022,1,1.08596,0.96521,0,0.87613,0.28022,1,0.72422,0.44712,27.07575,0.97388,1,0.73180,0.45281,4.97198,0.97388,0,0.05370,0.00883,0.62934,0.00515,1,0.05480,0.00907,0.63668,0.00179,1,0,0.00000,31
0.84908,0.28423,366.24805,0.05417,1295,1,0.87480,0.28624,1,1.08596,0.96521,0,0.87480,0.28624,1,0.72442,0.44724,26.43391,0.96685,1,0.73180,0.45281,4.97198,0.96685,0,0.05370,0.00883,0.62934,0.00505,1,0.05480,0.00907,0.63668,0.00179,1,0,0.00000,31
0.82387,0.28776,366.24805,0.06042,1295,1,0.57153,0.40706,1,0.62229,0.23207,1,0.59691,0.31957,1,0.45408,0.45730,19.80701,0.96685,1,0.72439,0.44733,26.30044,0.96685,1,0.05370,0.00883,0.62934,0.00481,1,0.05480,0.00907,0.63668,0.00501,1,0,0.00000,31
0.80210,0.29174,366.24805,0.06714,1295,1,0.54747,0.44232,1,0.62152,0.22070,1,0.58449,0.33151,1,0.45403,0.45682,20.19736,0.96685,1,0.72437,0.44729,26.35793,0.96685,1,0.05370,0.00883,0.62934,0.00476,1,0.05480,0.00907,0.63668,0.00499,1,0,0.00000,31
0.78397,0.29505,366.24805,0.07410,1295,1,0.54747,0.44232,1,0.62152,0.22070,1,0.58449,0.33151,1,0.45422,0.45703,19.89633,0.96685,1,0.72427,0.44728,26.36362,0.96685,1,-0.01076,0.00713,0.62960,0.00474,1,0.05447,0.00897,0.63955,0.00497,1,0,0.00000,31
0.76836,0.29378,366.24805,0.08087,1295,1,0.54590,0.33219,1,0.61612,0.22475,1,0.58101,0.27847,1,0.45389,0.45664,20.78746,0.96685,1,0.72424,0.44723,26.28625,0.96685,1,-0.01076,0.00713,0.62960,0.00477,1,0.05447,0.00897,0.63955,0.00497,1,0,0.00000,31
0.75464,0.29276,366.24805,0.08795,1295,1,0.54044,0.33524,1,0.61207,0.22388,1,0.57625,0.27956,1,0.45398,0.45661,21.99775,0.96685,1,0.72420,0.44731,26.52984,0.96685,1,-0.01076,0.00713,0.62960,0.00471,1,0.05447,0.00897,0.63955,0.00495,1,0,0.00000,31
