FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.55278,0.38251,1252.44446,0.93091,3245,1,0.62971,0.43531,1,0.48115,0.29012,1,0.55543,0.36271,1,0.26534,0.56619,34.77950,0.89266,1,0.53915,0.59142,28.97521,0.89266,1,-0.05612,-0.01381,0.62427,0.00636,1,0.00911,-0.01855,0.61374,0.00551,1,0,0.00000,6
0.55298,0.38187,1252.44446,0.93762,3245,1,0.63003,0.43932,1,0.48115,0.29000,1,0.55559,0.36466,1,0.26537,0.56619,34.73406,0.88700,1,0.53918,0.59150,28.86974,0.89279,1,-0.05462,-0.01350,0.60816,0.00636,1,0.00925,-0.01879,0.62010,0.00554,1,0,0.00000,6
0.54439,0.38581,1252.44446,1.86206,3245,1,0.64393,0.44197,1,0.47231,0.26512,1,0.55812,0.35355,1,0.26479,0.56734,34.58227,0.90437,1,0.53867,0.59429,28.65300,0.89913,1,-0.05462,-0.01364,0.60603,0.00632,1,0.00883,-0.01860,0.59753,0.00543,1,0,0.00000,6
0.54443,0.38558,1252.44446,1.86865,3245,1,0.63006,0.44532,1,0.45664,0.28717,1,0.54335,0.36625,1,0.26494,0.56729,34.53834,0.89348,1,0.53881,0.59435,28.89994,0.88245,1,-0.05462,-0.01364,0.60603,0.00631,1,0.00883,-0.01860,0.59753,0.00542,1,0,0.00000,6
0.54419,0.38572,1252.44446,1.87512,3245,1,0.64079,0.45698,1,0.44224,0.30892,1,0.54152,0.38295,1,0.26504,0.56732,34.50502,0.87679,1,0.53890,0.59431,28.83144,0.86576,1,-0.05462,-0.01364,0.60603,0.00631,1,0.00883,-0.01860,0.59753,0.00543,1,0,0.00000,6
0.54396,0.38614,1252.44446,1.88184,3245,1,0.64154,0.46866,1,0.44221,0.31404,1,0.54187,0.39135,1,0.26506,0.56734,34.50620,0.86010,1,0.53906,0.59440,28.72247,0.86010,1,-0.05422,-0.01356,0.60269,0.00631,1,0.00939,-0.01959,0.62946,0.00546,1,0,0.00000,6
0.54436,0.38671,1252.44446,1.88904,3245,1,0.64928,0.46234,1,0.45288,0.31121,1,0.55108,0.38678,1,0.26527,0.56730,34.38329,0.86010,1,0.53916,0.59452,28.81838,0.87113,1,-0.05422,-0.01356,0.60269,0.00634,1,0.00939,-0.01959,0.62946,0.00541,1,0,0.00000,6
0.54468,0.38666,1252.44446,1.89526,3245,1,0.63003,0.44059,1,0.46529,0.29174,1,0.54766,0.36616,1,0.26533,0.56727,34.42057,0.87113,1,0.53920,0.59449,28.85991,0.88216,1,-0.05422,-0.01356,0.60269,0.00633,1,0.00939,-0.01959,0.62946,0.00541,1,0,0.00000,6
0.54498,0.38638,1252.44446,1.90186,3245,1,0.62941,0.43263,1,0.46545,0.28700,1,0.54743,0.35982,1,0.26536,0.56723,34.43587,0.88216,1,0.53939,0.59432,28.64899,0.88740,1,-0.05462,-0.01368,0.60816,0.00632,1,0.00905,-0.01878,0.60337,0.00543,1,0,0.00000,6
0.54532,0.38691,1252.44446,1.90955,3245,1,0.61388,0.41816,1,0.48095,0.34351,1,0.54742,0.38084,1,0.26557,0.56709,34.40546,0.88740,1,0.53954,0.59434,28.67405,0.88161,1,-0.05462,-0.01368,0.60816,0.00634,1,0.00905,-0.01878,0.60337,0.00544,1,0,0.00000,6
