FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.53885,0.38844,6857.29199,0.13428,11430,1,0.57920,0.38720,1,0.51233,0.40495,1,0.54577,0.39607,1,0.38974,0.36629,35.17336,0.91705,1,0.68917,0.38555,34.97075,0.91705,1,-0.02620,0.02461,0.62738,0.00608,1,0.04535,0.02087,0.62681,0.00596,1,0,0.00000,35
0.53916,0.38857,6857.29199,0.14062,11430,1,0.57853,0.38259,1,0.51283,0.40027,1,0.54568,0.39143,1,0.38974,0.36633,35.17841,0.92333,1,0.68916,0.38558,35.01122,0.92333,1,-0.02669,0.02497,0.63791,0.00608,1,0.04535,0.02087,0.62681,0.00596,1,0,0.00000,35
0.53924,0.38724,6857.29199,0.14746,11430,1,0.57427,0.32402,1,0.50756,0.39195,1,0.54091,0.35798,1,0.38970,0.36635,35.17317,0.92962,1,0.68914,0.38557,34.95992,0.92962,1,-0.02669,0.02497,0.63791,0.00608,1,0.04535,0.02087,0.62681,0.00597,1,0,0.00000,35
0.53933,0.38582,6857.29199,0.15381,11430,1,0.57181,0.31868,1,0.51088,0.38730,1,0.54134,0.35299,1,0.38972,0.36634,35.12965,0.93591,1,0.68912,0.38561,35.06254,0.93591,1,-0.02669,0.02497,0.63791,0.00609,1,0.04535,0.02087,0.62681,0.00596,1,0,0.00000,35
0.53939,0.38440,6857.29199,0.16113,11430,1,0.57111,0.31371,1,0.51091,0.38693,1,0.54101,0.35032,1,0.38971,0.36635,35.15702,0.94219,1,0.68912,0.38555,35.03706,0.93640,1,-0.02669,0.02497,0.63791,0.00609,1,0.04424,0.02038,0.61215,0.00597,1,0,0.00000,35
0.53936,0.38463,6857.29199,0.16699,11430,1,0.57078,0.38451,1,0.50637,0.39656,1,0.53857,0.39053,1,0.38967,0.36635,35.22050,0.93640,1,0.68907,0.38556,35.06135,0.93061,1,-0.02669,0.02497,0.63791,0.00607,1,0.04424,0.02038,0.61215,0.00597,1,0,0.00000,35
0.53929,0.38463,6857.29199,0.17383,11430,1,0.57063,0.37335,1,0.50428,0.39579,1,0.53745,0.38457,1,0.38965,0.36633,35.24448,0.93061,1,0.68910,0.38558,35.08407,0.92483,1,-0.02669,0.02497,0.63791,0.00607,1,0.04424,0.02038,0.61215,0.00596,1,0,0.00000,35
0.53923,0.38478,6857.29199,0.18018,11430,1,0.57129,0.37762,1,0.50387,0.40012,1,0.53758,0.38887,1,0.38962,0.36630,35.20953,0.92483,1,0.68909,0.38559,35.03408,0.91904,1,-0.02669,0.02497,0.63791,0.00609,1,0.04424,0.02038,0.61215,0.00596,1,0,0.00000,35
0.53912,0.38488,6857.29199,0.18701,11430,1,0.57073,0.37867,1,0.50113,0.39634,1,0.53593,0.38751,1,0.38963,0.36628,35.27235,0.91904,1,0.68908,0.38553,35.10138,0.91904,1,-0.02669,0.02497,0.63791,0.00608,1,0.04424,0.02038,0.61215,0.00596,1,0,0.00000,35
0.53904,0.38431,6857.29199,0.19482,11430,1,0.57091,0.33539,1,0.50271,0.40056,1,0.53681,0.36797,1,0.38960,0.36631,35.21959,0.91904,1,0.68906,0.38555,35.07850,0.91904,1,-0.02669,0.02497,0.63791,0.00607,1,0.04424,0.02038,0.61215,0.00595,1,0,0.00000,35
0.53897,0.38379,6857.29199,0.20068,11430,1,0.57091,0.33539,1,0.50271,0.40056,1,0.53681,0.36797,1,0.38960,0.36631,35.21959,0.91904,1,0.68905,0.38550,35.03812,0.91904,1,-0.02669,0.02497,0.63791,0.00607,1,0.04424,0.02038,0.61215,0.00594,1,0,0.00000,35
0.53880,0.38310,6857.29199,0.20703,11430,1,0.56575,0.33392,1,0.50152,0.38945,1,0.53364,0.36169,1,0.38955,0.36635,35.21326,0.91904,1,0.68902,0.38546,35.08334,0.91904,1,-0.02669,0.02497,0.63791,0.00610,1,0.04424,0.02038,0.61215,0.00594,1,0,0.00000,35
0.53861,0.38261,6857.29199,0.21582,11430,1,0.56557,0.33546,1,0.49944,0.39842,1,0.53251,0.36694,1,0.38957,0.36635,35.28840,0.91904,1,0.68897,0.38545,35.06979,0.91904,1,-0.02669,0.02497,0.63791,0.00608,1,0.04424,0.02038,0.61215,0.00597,1,0,0.00000,35
0.53843,0.38214,6857.29199,0.22266,11430,1,0.56557,0.33546,1,0.49944,0.39842,1,0.53251,0.36694,1,0.38950,0.36637,35.27154,0.91904,1,0.68902,0.38552,35.15252,0.91904,1,-0.02669,0.02497,0.63791,0.00610,1,0.04424,0.02038,0.61215,0.00596,1,0,0.00000,35
0.53858,0.38182,6857.29199,0.22949,11430,1,0.58900,0.34270,1,0.49859,0.39918,1,0.54379,0.37094,1,0.38947,0.36639,35.26476,0.91904,1,0.68897,0.38553,35.05766,0.91904,1,-0.02669,0.02497,0.63791,0.00610,1,0.04424,0.02038,0.61215,0.00598,1,0,0.00000,35
0.53871,0.38154,6857.29199,0.23486,11430,1,0.58883,0.34514,1,0.49740,0.39779,1,0.54311,0.37147,1,0.38944,0.36643,35.24137,0.91904,1,0.68892,0.38552,35.07907,0.91904,1,-0.02669,0.02497,0.63791,0.00608,1,0.04424,0.02038,0.61215,0.00597,1,0,0.00000,35
0.53884,0.38151,6857.29199,0.24121,11430,1,0.58998,0.35445,1,0.49665,0.40677,1,0.54331,0.38061,1,0.38943,0.36646,35.20116,0.90709,1,0.68891,0.38557,35.05729,0.90709,1,-0.02586,0.02406,0.61585,0.00608,1,0.04424,0.02029,0.61215,0.00597,1,0,0.00000,35
0.53882,0.38200,6857.29199,0.24854,11430,1,0.58742,0.36751,1,0.48915,0.43287,1,0.53829,0.40019,1,0.38940,0.36648,35.19556,0.89515,1,0.68890,0.38566,35.05687,0.89515,1,-0.02586,0.02406,0.61585,0.00608,1,0.04424,0.02029,0.61215,0.00599,1,0,0.00000,35
0.53880,0.38218,6857.29199,0.25439,11430,1,0.58691,0.38329,1,0.48887,0.39486,1,0.53789,0.38908,1,0.38939,0.36652,35.20889,0.88320,1,0.68888,0.38569,34.99406,0.88320,1,-0.02586,0.02406,0.61585,0.00608,1,0.04424,0.02029,0.61215,0.00600,1,0,0.00000,35
0.53878,0.38259,6857.29199,0.26270,11430,1,0.58813,0.39247,1,0.48819,0.40425,1,0.53816,0.39836,1,0.38939,0.36652,35.20889,0.87126,1,0.68888,0.38571,34.95862,0.87126,1,-0.02544,0.02363,0.60599,0.00608,1,0.04424,0.02029,0.61215,0.00600,1,0,0.00000,35
0.53873,0.38313,6857.29199,0.26855,11430,1,0.58509,0.40109,1,0.48849,0.40881,1,0.53679,0.40495,1,0.38936,0.36666,35.42168,0.87126,1,0.68885,0.38573,34.93777,0.87126,1,-0.02544,0.02363,0.60599,0.00607,1,0.04424,0.02029,0.61215,0.00599,1,0,0.00000,35
0.53866,0.38366,6857.29199,0.27490,11430,1,0.58594,0.40763,1,0.48557,0.40296,1,0.53575,0.40530,1,0.38936,0.36669,35.46328,0.87126,1,0.68885,0.38578,34.93776,0.87126,1,-0.02544,0.02363,0.60599,0.00607,1,0.04424,0.02029,0.61215,0.00600,1,0,0.00000,35
0.53859,0.38417,6857.29199,0.28174,11430,1,0.58594,0.40763,1,0.48557,0.40296,1,0.53575,0.40530,1,0.38936,0.36669,35.46328,0.87126,1,0.68885,0.38579,34.93195,0.87126,1,-0.02544,0.02363,0.60599,0.00607,1,0.04424,0.02029,0.61215,0.00600,1,0,0.00000,35
0.53847,0.38424,6857.29199,0.28857,11430,1,0.58251,0.41081,1,0.48375,0.36438,1,0.53313,0.38759,1,0.38934,0.36669,35.44670,0.87126,1,0.68882,0.38583,35.14978,0.87126,1,-0.02544,0.02363,0.60599,0.00608,1,0.04424,0.02029,0.61215,0.00600,1,0,0.00000,35
0.53836,0.38430,6857.29199,0.29492,11430,1,0.58057,0.40817,1,0.48620,0.36528,1,0.53338,0.38673,1,0.38934,0.36669,35.44670,0.87126,1,0.68885,0.38581,35.06370,0.87126,1,-0.02544,0.02363,0.60599,0.00608,1,0.04424,0.02029,0.61215,0.00600,1,0,0.00000,35
0.53825,0.38435,6857.29199,0.30225,11430,1,0.58057,0.40817,1,0.48620,0.36528,1,0.53338,0.38673,1,0.38937,0.36671,35.38926,0.87126,1,0.68880,0.38584,35.21243,0.87126,1,-0.02544,0.02363,0.60599,0.00607,1,0.04424,0.02029,0.61215,0.00600,1,0,0.00000,35
0.53822,0.38441,6857.29199,0.30859,11430,1,0.58447,0.41040,1,0.48953,0.36406,1,0.53700,0.38723,1,0.38936,0.36674,35.40437,0.87126,1,0.68882,0.38586,35.33511,0.87126,1,-0.02544,0.02363,0.60599,0.00609,1,0.04424,0.02029,0.61215,0.00601,1,0,0.00000,35
0.53819,0.38448,6857.29199,0.31445,11430,1,0.58450,0.41034,1,0.48864,0.36512,1,0.53657,0.38773,1,0.38938,0.36673,35.41508,0.87126,1,0.68890,0.38584,35.20036,0.87126,1,-0.02544,0.02363,0.60599,0.00607,1,0.04424,0.02029,0.61215,0.00600,1,0,0.00000,35
0.53810,0.38460,6857.29199,0.32178,11430,1,0.58450,0.41034,1,0.48864,0.36512,1,0.53657,0.38773,1,0.38935,0.36675,35.40464,0.87126,1,0.68891,0.38584,35.21436,0.87126,1,-0.02544,0.02363,0.60599,0.00609,1,0.04356,0.01994,0.60273,0.00600,1,0,0.00000,35
0.53804,0.38580,6857.29199,0.32812,11430,1,0.59172,0.41651,1,0.48721,0.41973,1,0.53946,0.41812,1,0.38942,0.36675,35.39383,0.87126,1,0.68894,0.38588,35.15587,0.87126,1,-0.02544,0.02363,0.60599,0.00609,1,0.04356,0.01994,0.60273,0.00599,1,0,0.00000,35
0.53807,0.38640,6857.29199,0.33496,11430,1,0.59185,0.41223,1,0.49770,0.35985,1,0.54478,0.38604,1,0.38942,0.36675,35.39383,0.87126,1,0.68897,0.38587,35.24754,0.87126,1,-0.02544,0.02363,0.60599,0.00609,1,0.04356,0.01994,0.60273,0.00599,1,0,0.00000,35
0.53809,0.38695,6857.29199,0.34131,11430,1,0.59129,0.40800,1,0.49808,0.35511,1,0.54468,0.38156,1,0.38942,0.36675,35.39383,0.87692,1,0.68899,0.38584,35.15644,0.87692,1,-0.02598,0.02417,0.61981,0.00609,1,0.04356,0.01994,0.60273,0.00599,1,0,0.00000,35
0.53841,0.38768,6857.29199,0.34766,11430,1,0.59241,0.40689,1,0.49877,0.41012,1,0.54559,0.40850,1,0.38948,0.36671,35.36162,0.88257,1,0.68901,0.38579,35.09534,0.88257,1,-0.02598,0.02417,0.61981,0.00611,1,0.04356,0.01994,0.60273,0.00601,1,0,0.00000,35
0.53878,0.38843,6857.29199,0.35498,11430,1,0.59758,0.39671,1,0.50223,0.40284,1,0.54991,0.39978,1,0.38950,0.36672,35.34903,0.88823,1,0.68905,0.38583,35.09153,0.88823,1,-0.02598,0.02417,0.61981,0.00612,1,0.04356,0.01994,0.60273,0.00598,1,0,0.00000,35
0.53915,0.38920,6857.29199,0.36133,11430,1,0.59707,0.39247,1,0.50263,0.39848,1,0.54985,0.39547,1,0.38950,0.36671,35.34656,0.89389,1,0.68902,0.38584,35.19470,0.89389,1,-0.02598,0.02417,0.61981,0.00612,1,0.04424,0.02020,0.61215,0.00598,1,0,0.00000,35
0.53948,0.38949,6857.29199,0.36768,11430,1,0.59727,0.39074,1,0.50392,0.39697,1,0.55060,0.39385,1,0.38951,0.36664,35.47258,0.89389,1,0.68906,0.38594,35.26105,0.89389,1,-0.02598,0.02417,0.61981,0.00611,1,0.04424,0.02020,0.61215,0.00600,1,0,0.00000,35
0.53956,0.38921,6857.29199,0.37500,11430,1,0.57146,0.38323,1,0.50431,0.39642,1,0.53789,0.38982,1,0.38953,0.36658,35.44448,0.89389,1,0.68908,0.38589,35.12159,0.89389,1,-0.02598,0.02417,0.61981,0.00611,1,0.04424,0.02020,0.61215,0.00601,1,0,0.00000,35
0.53963,0.38883,6857.29199,0.38135,11430,1,0.57072,0.37847,1,0.50477,0.39155,1,0.53774,0.38501,1,0.38955,0.36652,35.44350,0.90018,1,0.68909,0.38588,35.14907,0.90018,1,-0.02693,0.02515,0.64374,0.00612,1,0.04356,0.01994,0.60273,0.00601,1,0,0.00000,35
