FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.0,0.0,229.38876,0.06827,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40225,0.576,20.6806,1.0,1.0,0.65123,0.55467,19.16183,1.0,1.0,-0.02599,-0.01803,0.70296,0.00436,1.0,0.04239,-0.01402,0.73035,0.0042,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.07497,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40225,0.57615,20.40182,1.0,1.0,0.65122,0.55472,19.06642,1.0,1.0,-0.02599,-0.01803,0.70296,0.00436,1.0,0.04239,-0.01402,0.73035,0.0042,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.08167,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40227,0.57613,20.42958,1.0,1.0,0.65117,0.55476,19.06041,1.0,1.0,-0.02599,-0.01803,0.70296,0.00436,1.0,0.04239,-0.01402,0.73035,0.0042,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.6781,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40363,0.57568,20.56636,1.0,1.0,0.6528,0.5553,18.83924,1.0,1.0,-0.02555,-0.01784,0.69979,0.00425,1.0,0.04178,-0.01388,0.71167,0.00403,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.6851,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40352,0.5757,20.52292,1.0,1.0,0.6527,0.55535,18.79573,1.0,1.0,-0.02555,-0.01784,0.69979,0.00425,1.0,0.04178,-0.01388,0.71167,0.00403,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.69179,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40341,0.57556,20.19991,1.0,1.0,0.65253,0.55531,18.72977,1.0,1.0,-0.02637,-0.01834,0.71928,0.00436,1.0,0.04119,-0.01371,0.7033,0.00395,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.69817,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40309,0.57576,20.26477,1.0,1.0,0.65249,0.55527,18.74669,1.0,1.0,-0.02637,-0.01834,0.71928,0.00436,1.0,0.04119,-0.01371,0.7033,0.00395,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.70518,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40308,0.57574,20.2177,1.0,1.0,0.65232,0.55522,18.61072,1.0,1.0,-0.02637,-0.01834,0.71928,0.00436,1.0,0.04119,-0.01371,0.7033,0.00395,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.71141,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4031,0.57579,20.20744,1.0,1.0,0.65224,0.55527,18.80426,1.0,1.0,-0.02582,-0.01789,0.70143,0.00425,1.0,0.04063,-0.01356,0.69558,0.00392,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.71858,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.40286,0.57595,20.80391,1.0,1.0,0.65198,0.55528,18.87738,1.0,1.0,-0.02582,-0.01789,0.70143,0.00425,1.0,0.04063,-0.01356,0.69558,0.00392,1.0,0.0,0.0,44.0
0.0,0.0,229.38876,0.72488,128.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4028,0.57607,20.71206,1.0,1.0,0.65196,0.55529,18.79454,1.0,1.0,-0.02582,-0.01789,0.70143,0.00425,1.0,0.04063,-0.01356,0.69558,0.00392,1.0,0.0,0.0,44.0
