FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.57189,0.4108,334.57809,1.186,1411.0,0.0,0.51745,0.54821,1.0,0.63413,0.26328,1.0,0.57579,0.40574,1.0,0.31432,0.5908,27.0726,1.13237,1.0,0.54448,0.5924,26.84057,1.13237,1.0,-0.04697,-0.01995,0.66008,0.00602,1.0,0.01121,-0.02021,0.65259,0.00593,1.0,0.0,0.0,13.0
0.57385,0.41098,334.57809,1.186,1411.0,0.0,0.51627,0.55782,1.0,0.63535,0.26451,1.0,0.57581,0.41117,1.0,0.31432,0.59079,27.09876,1.12461,1.0,0.54448,0.5924,26.84057,1.12461,1.0,-0.04606,-0.01954,0.64659,0.00591,1.0,0.01121,-0.02021,0.65259,0.00591,1.0,0.0,0.0,13.0
0.56427,0.39025,336.33347,0.0528,1413.0,1.0,0.50627,0.53089,1.0,0.62237,0.22549,1.0,0.56432,0.37819,1.0,0.31338,0.59052,27.69535,1.13431,1.0,0.54368,0.59235,27.36682,1.13431,1.0,-0.04877,-0.0205,0.68174,0.00631,1.0,0.01098,-0.02011,0.65071,0.00598,1.0,0.0,0.0,13.0
0.56361,0.38438,336.33347,0.06,1413.0,1.0,0.4914,0.42271,1.0,0.62392,0.24045,1.0,0.55766,0.33158,1.0,0.31327,0.59059,27.52782,1.1508,1.0,0.54367,0.59233,27.34987,1.1508,1.0,-0.04877,-0.0205,0.68174,0.00631,1.0,0.01098,-0.02011,0.65071,0.00598,1.0,0.0,0.0,13.0
0.56295,0.37948,336.33347,0.06659,1413.0,1.0,0.48999,0.42138,1.0,0.62256,0.23957,1.0,0.55628,0.33048,1.0,0.31327,0.59059,27.5478,1.15857,1.0,0.54365,0.59233,27.3319,1.15857,1.0,-0.04677,-0.01974,0.65315,0.00625,1.0,0.011,-0.02033,0.65779,0.00625,1.0,0.0,0.0,13.0
0.56371,0.37984,336.33347,0.07324,1413.0,1.0,0.49943,0.46199,1.0,0.64486,0.30557,1.0,0.57215,0.38378,1.0,0.31303,0.59083,27.38096,1.14983,1.0,0.54337,0.5924,27.19139,1.14983,1.0,-0.04677,-0.01974,0.65315,0.00625,1.0,0.011,-0.02033,0.65779,0.00625,1.0,0.0,0.0,13.0
0.56406,0.37918,336.33347,0.08035,1413.0,1.0,0.50894,0.49902,1.0,0.62743,0.2436,1.0,0.56819,0.37131,1.0,0.3129,0.59082,27.30974,1.1411,1.0,0.54329,0.5924,27.20479,1.1411,1.0,-0.04677,-0.01974,0.65315,0.00625,1.0,0.011,-0.02033,0.65779,0.00625,1.0,0.0,0.0,13.0
0.56435,0.37862,336.33347,0.08661,1413.0,1.0,0.50894,0.49902,1.0,0.62743,0.2436,1.0,0.56819,0.37131,1.0,0.3129,0.59082,27.2834,1.1411,1.0,0.54327,0.5924,27.1731,1.1411,1.0,-0.04918,-0.02075,0.68468,0.00639,1.0,0.01092,-0.02037,0.65922,0.00613,1.0,0.0,0.0,13.0
0.56382,0.37589,336.33347,0.09357,1413.0,1.0,0.49767,0.46354,1.0,0.61495,0.2118,1.0,0.55631,0.33767,1.0,0.31274,0.59091,27.16285,1.14983,1.0,0.54307,0.59244,27.18471,1.14983,1.0,-0.04918,-0.02075,0.68468,0.00639,1.0,0.01092,-0.02037,0.65922,0.00613,1.0,0.0,0.0,13.0
0.5636,0.3746,336.33347,0.10049,1413.0,1.0,0.50136,0.48058,1.0,0.61937,0.22996,1.0,0.56037,0.35527,1.0,0.31265,0.59094,26.9943,1.15857,1.0,0.54301,0.59241,27.25576,1.15857,1.0,-0.04918,-0.02075,0.68468,0.00639,1.0,0.01092,-0.02037,0.65922,0.00613,1.0,0.0,0.0,13.0
