FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.0,0.0,365.56467,2.42484,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.20934,0.67843,27.73195,1.0,1.0,0.45879,0.70478,27.31334,1.0,1.0,-0.06983,-0.03611,0.62932,0.00524,1.0,-0.01026,-0.04245,0.64827,0.00531,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,2.43152,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.20939,0.67844,27.86588,1.0,1.0,0.45874,0.70478,27.37012,1.0,1.0,-0.06983,-0.03611,0.62932,0.00524,1.0,-0.01026,-0.04245,0.64827,0.00531,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.02753,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21016,0.67837,28.0264,1.0,1.0,0.45923,0.70526,27.35861,1.0,1.0,-0.06983,-0.0362,0.631,0.00531,1.0,-0.01029,-0.04306,0.65694,0.00539,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.0343,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21024,0.67837,28.09367,1.0,1.0,0.45933,0.70523,27.39357,1.0,1.0,-0.06983,-0.0362,0.631,0.00531,1.0,-0.01029,-0.04306,0.65694,0.00539,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.04108,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21024,0.67837,28.09367,1.0,1.0,0.45936,0.70521,27.30205,1.0,1.0,-0.06983,-0.0362,0.631,0.00531,1.0,-0.01029,-0.04306,0.65694,0.00539,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.04745,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21024,0.67837,28.09367,1.0,1.0,0.45935,0.70522,27.29274,1.0,1.0,-0.06983,-0.0362,0.631,0.00532,1.0,-0.01055,-0.04435,0.67656,0.00554,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.05438,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21028,0.67839,28.07364,1.0,1.0,0.45945,0.70528,27.19297,1.0,1.0,-0.06983,-0.0362,0.631,0.00532,1.0,-0.01055,-0.04435,0.67656,0.00554,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.06091,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21034,0.6784,28.10612,1.0,1.0,0.45949,0.70531,27.14914,1.0,1.0,-0.06983,-0.0362,0.631,0.00532,1.0,-0.01055,-0.04435,0.67656,0.00554,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.06763,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21031,0.67838,28.05764,1.0,1.0,0.45949,0.70531,27.14914,1.0,1.0,-0.07216,-0.03748,0.65247,0.00549,1.0,-0.0102,-0.04307,0.65708,0.00535,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.07446,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21036,0.67846,27.95434,1.0,1.0,0.45947,0.70531,27.18681,1.0,1.0,-0.07216,-0.03748,0.65247,0.00549,1.0,-0.0102,-0.04307,0.65708,0.00535,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.08121,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21037,0.67847,27.99397,1.0,1.0,0.45949,0.70531,27.15578,1.0,1.0,-0.07216,-0.03748,0.65247,0.00549,1.0,-0.0102,-0.04307,0.65708,0.00535,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.08765,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21037,0.67847,27.99397,1.0,1.0,0.45949,0.70531,27.15141,1.0,1.0,-0.07216,-0.03748,0.65247,0.00548,1.0,-0.0102,-0.04307,0.65708,0.00535,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.09445,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21044,0.67848,28.14637,1.0,1.0,0.4595,0.70531,27.20401,1.0,1.0,-0.07216,-0.03748,0.65247,0.00548,1.0,-0.0102,-0.04307,0.65708,0.00535,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.10114,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21045,0.6785,28.07952,1.0,1.0,0.45949,0.70532,27.17351,1.0,1.0,-0.07216,-0.03748,0.65247,0.00548,1.0,-0.0102,-0.04307,0.65708,0.00535,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.10779,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21051,0.67845,28.14594,1.0,1.0,0.45952,0.70531,27.17234,1.0,1.0,-0.07216,-0.03748,0.65247,0.00551,1.0,-0.0102,-0.04307,0.65708,0.00536,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.1142,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21053,0.67846,28.16169,1.0,1.0,0.45966,0.7054,27.21176,1.0,1.0,-0.07216,-0.03748,0.65247,0.00551,1.0,-0.0102,-0.04307,0.65708,0.00536,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.12115,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21056,0.67849,28.22838,1.0,1.0,0.45966,0.7054,27.21176,1.0,1.0,-0.07216,-0.03748,0.65247,0.00551,1.0,-0.0102,-0.04307,0.65708,0.00536,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.12808,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21054,0.67849,28.25105,1.0,1.0,0.45969,0.70542,27.23109,1.0,1.0,-0.07481,-0.03889,0.67689,0.00574,1.0,-0.01048,-0.04446,0.6782,0.00554,1.0,0.0,0.0,19.0
0.0,0.0,365.56467,3.1348,161.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.21059,0.67855,28.04916,1.0,1.0,0.45976,0.70545,27.22669,1.0,1.0,-0.07481,-0.03889,0.67689,0.00574,1.0,-0.01048,-0.04446,0.6782,0.00554,1.0,0.0,0.0,19.0
