FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.48556,0.24986,519.98199,0.2879,1943.0,1.0,0.51344,0.53721,1.0,0.48754,0.06578,1.0,0.50049,0.30149,1.0,0.41943,0.60052,19.5644,1.10123,1.0,0.67924,0.61913,19.7189,1.10123,1.0,-0.01976,-0.02149,0.63959,0.00414,1.0,0.04501,-0.02594,0.65743,0.00435,1.0,0.0,0.0,3.0
0.4606,0.24663,520.63159,0.24829,1945.0,1.0,0.51692,0.38288,1.0,0.43938,0.08122,1.0,0.47815,0.23205,1.0,0.41961,0.601,18.59121,1.12692,1.0,0.67965,0.61997,19.75357,1.13588,1.0,-0.01987,-0.02171,0.64319,0.00403,1.0,0.04686,-0.02713,0.6838,0.0045,1.0,0.0,0.0,3.0
0.46112,0.24611,520.63159,0.25507,1945.0,1.0,0.51705,0.3814,1.0,0.44428,0.071,1.0,0.48067,0.2262,1.0,0.41957,0.60096,18.65656,1.12812,1.0,0.67964,0.61995,19.75249,1.12812,1.0,-0.01987,-0.02171,0.64319,0.00406,1.0,0.03636,-0.02108,0.53131,0.00355,1.0,0.0,0.0,3.0
0.46136,0.24584,520.63159,0.26178,1945.0,1.0,0.4699,0.40045,1.0,0.47174,0.07033,1.0,0.47082,0.23539,1.0,0.41952,0.60103,18.6332,1.12812,1.0,0.67965,0.61995,19.35358,1.11916,1.0,-0.01987,-0.02171,0.64319,0.00406,1.0,0.03636,-0.02108,0.53131,0.00355,1.0,0.0,0.0,3.0
0.4615,0.24565,520.63159,0.26813,1945.0,1.0,0.46896,0.402,1.0,0.46568,0.07378,1.0,0.46732,0.23789,1.0,0.41952,0.60103,18.6332,1.11916,1.0,0.67967,0.61998,19.35184,1.11019,1.0,-0.01987,-0.02171,0.64319,0.00406,1.0,0.03636,-0.02108,0.53131,0.00355,1.0,0.0,0.0,3.0
0.46173,0.24536,520.63159,0.27509,1945.0,1.0,0.47091,0.40334,1.0,0.47091,0.06361,1.0,0.47091,0.23348,1.0,0.41953,0.60103,18.61341,1.11019,1.0,0.6795,0.61996,19.65109,1.10123,1.0,-0.01987,-0.02171,0.64319,0.00399,1.0,0.03636,-0.02108,0.53131,0.00345,1.0,0.0,0.0,3.0
0.46179,0.24497,520.63159,0.28174,1945.0,1.0,0.43576,0.38811,1.0,0.49269,0.06922,1.0,0.46423,0.22867,1.0,0.4195,0.601,18.71232,1.10123,1.0,0.67953,0.61987,19.57309,1.10123,1.0,-0.01987,-0.02171,0.64319,0.00399,1.0,0.03636,-0.02108,0.53131,0.00345,1.0,0.0,0.0,3.0
0.46182,0.24455,520.63159,0.28845,1945.0,1.0,0.43969,0.38643,1.0,0.48702,0.06623,1.0,0.46336,0.22633,1.0,0.41943,0.60101,18.62622,1.10123,1.0,0.67957,0.6198,19.57406,1.10123,1.0,-0.01987,-0.02171,0.64319,0.00399,1.0,0.03636,-0.02108,0.53131,0.00345,1.0,0.0,0.0,3.0
0.46186,0.24414,520.63159,0.2951,1945.0,1.0,0.43969,0.38643,1.0,0.48702,0.06623,1.0,0.46336,0.22633,1.0,0.41945,0.601,18.63665,1.10123,1.0,0.67947,0.61981,19.4831,1.10123,1.0,-0.01987,-0.02171,0.64319,0.00396,1.0,0.03636,-0.02108,0.53131,0.00342,1.0,0.0,0.0,3.0
0.46196,0.24364,520.63159,0.30164,1945.0,1.0,0.44799,0.38325,1.0,0.48532,0.05909,1.0,0.46665,0.22117,1.0,0.41943,0.60104,18.57502,1.10123,1.0,0.67945,0.61984,19.46277,1.10123,1.0,-0.01987,-0.02171,0.64319,0.00396,1.0,0.03636,-0.02108,0.53131,0.00342,1.0,0.0,0.0,3.0
0.46192,0.24342,520.63159,0.30853,1945.0,1.0,0.43359,0.3942,1.0,0.48609,0.07234,1.0,0.45984,0.23327,1.0,0.41948,0.60099,18.67864,1.10123,1.0,0.67944,0.6199,19.53255,1.10123,1.0,-0.01987,-0.02171,0.64319,0.00396,1.0,0.03636,-0.02108,0.53131,0.00342,1.0,0.0,0.0,3.0
0.46187,0.24321,520.63159,0.315,1945.0,1.0,0.43359,0.3942,1.0,0.48609,0.07234,1.0,0.45984,0.23327,1.0,0.41943,0.60096,18.83849,1.10123,1.0,0.67946,0.61982,19.43782,1.10123,1.0,-0.01987,-0.02171,0.64319,0.004,1.0,0.03636,-0.02108,0.53131,0.00341,1.0,0.0,0.0,3.0
0.4612,0.24285,520.63159,0.32159,1945.0,1.0,0.47413,0.40512,1.0,0.46918,0.0513,1.0,0.47166,0.22821,1.0,0.41948,0.60107,18.74339,1.10123,1.0,0.67945,0.61983,19.47658,1.10123,1.0,-0.01987,-0.02171,0.64319,0.004,1.0,0.03636,-0.02108,0.53131,0.00341,1.0,0.0,0.0,3.0
0.46112,0.24312,520.63159,0.32825,1945.0,1.0,0.47227,0.4042,1.0,0.48865,0.06411,1.0,0.48046,0.23415,1.0,0.41938,0.60103,18.73204,1.10123,1.0,0.67954,0.61985,19.61145,1.10123,1.0,-0.01987,-0.02171,0.64319,0.004,1.0,0.03636,-0.02108,0.53131,0.00341,1.0,0.0,0.0,3.0
0.46099,0.24349,520.63159,0.33514,1945.0,1.0,0.47227,0.4042,1.0,0.48865,0.06411,1.0,0.48046,0.23415,1.0,0.41945,0.60108,18.52889,1.10123,1.0,0.6795,0.62,19.66654,1.10123,1.0,-0.01987,-0.02171,0.64319,0.00394,1.0,0.03636,-0.02108,0.53131,0.00345,1.0,0.0,0.0,3.0
