FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.50517,0.12986,1587.22876,0.06714,3875.0,1.0,0.54795,0.46236,1.0,0.47764,-0.32014,1.0,0.51279,0.07111,1.0,0.36601,0.33579,18.1882,1.15068,1.0,0.6368,0.36427,19.56148,1.15068,1.0,-0.03484,0.0326,0.68121,0.00406,1.0,0.03436,0.02592,0.66325,0.00435,1.0,0.0,0.0,5.0
0.50556,0.12546,1587.22876,0.07361,3875.0,1.0,0.54795,0.46236,1.0,0.47175,-0.30837,1.0,0.50985,0.07699,1.0,0.36604,0.33555,18.07278,1.15068,1.0,0.63668,0.36411,19.41985,1.15964,1.0,-0.03298,0.03077,0.64308,0.00401,1.0,0.03491,0.02642,0.67474,0.00456,1.0,0.0,0.0,5.0
0.50481,0.12413,1587.22876,0.08069,3875.0,1.0,0.51843,0.47837,1.0,0.47322,-0.26182,1.0,0.49583,0.10828,1.0,0.36596,0.33571,18.09407,1.14315,1.0,0.63664,0.36426,19.92655,1.15211,1.0,-0.03298,0.03077,0.64308,0.00401,1.0,0.03491,0.02642,0.67474,0.00456,1.0,0.0,0.0,5.0
0.50451,0.12574,1587.22876,0.08765,3875.0,1.0,0.52318,0.51228,1.0,0.47808,-0.21908,1.0,0.50063,0.1466,1.0,0.36597,0.33556,18.20322,1.13562,1.0,0.63672,0.36413,19.888,1.14458,1.0,-0.03298,0.03077,0.64308,0.00401,1.0,0.03491,0.02642,0.67474,0.00456,1.0,0.0,0.0,5.0
0.50471,0.12648,1587.22876,0.09387,3875.0,1.0,0.52181,0.52252,1.0,0.49335,-0.24879,1.0,0.50758,0.13687,1.0,0.36583,0.33558,18.27529,1.12808,1.0,0.63668,0.36407,19.83203,1.12012,1.0,-0.03298,0.03077,0.64308,0.00398,1.0,0.03311,0.02513,0.64187,0.00428,1.0,0.0,0.0,5.0
0.50536,0.12656,1587.22876,0.10107,3875.0,1.0,0.52777,0.51878,1.0,0.50239,-0.26324,1.0,0.51508,0.12777,1.0,0.36569,0.33545,18.06757,1.12012,1.0,0.63666,0.36385,19.56039,1.10319,1.0,-0.03298,0.03077,0.64308,0.00398,1.0,0.03311,0.02513,0.64187,0.00428,1.0,0.0,0.0,5.0
0.5055,0.12665,1587.22876,0.10718,3875.0,1.0,0.52932,0.57628,1.0,0.48625,-0.32027,1.0,0.50779,0.12801,1.0,0.36569,0.33545,18.06757,1.10319,1.0,0.63664,0.36381,19.50299,1.08626,1.0,-0.03298,0.03077,0.64308,0.00398,1.0,0.03311,0.02513,0.64187,0.00428,1.0,0.0,0.0,5.0
0.50573,0.12682,1587.22876,0.11475,3875.0,1.0,0.52678,0.59148,1.0,0.49239,-0.33211,1.0,0.50958,0.12969,1.0,0.36571,0.33542,18.12885,1.09403,1.0,0.63662,0.36376,19.6181,1.0771,1.0,-0.03393,0.03171,0.66057,0.00393,1.0,0.03311,0.02513,0.64187,0.00407,1.0,0.0,0.0,5.0
0.50619,0.1244,1587.22876,0.12061,3875.0,1.0,0.51376,0.52711,1.0,0.51524,-0.3652,1.0,0.5145,0.08095,1.0,0.36565,0.33542,18.07202,1.08486,1.0,0.63654,0.36373,19.49702,1.08486,1.0,-0.03393,0.03171,0.66057,0.00393,1.0,0.03311,0.02513,0.64187,0.00407,1.0,0.0,0.0,5.0
0.50648,0.12307,1587.22876,0.12756,3875.0,1.0,0.51582,0.52424,1.0,0.50809,-0.32888,1.0,0.51196,0.09768,1.0,0.36549,0.33536,18.26553,1.09262,1.0,0.6364,0.36373,19.59863,1.09262,1.0,-0.03393,0.03171,0.66057,0.00393,1.0,0.03311,0.02513,0.64187,0.00407,1.0,0.0,0.0,5.0
