FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.63684,-0.01515,401.69778,0.09323,1791.0,1.0,0.80475,-0.19574,1.0,0.47439,0.11763,1.0,0.63957,-0.03906,1.0,0.44507,0.31799,22.97897,1.10046,1.0,0.71671,0.33716,22.40952,1.10046,1.0,-0.01332,0.03461,0.65543,0.00497,1.0,0.05315,0.0301,0.64214,0.00475,1.0,0.0,0.0,10.0
0.62581,0.1051,402.09256,0.29492,1794.0,0.0,0.72924,0.15674,1.0,0.51515,0.0966,1.0,0.6222,0.12667,1.0,0.44614,0.31859,23.21624,1.06941,1.0,0.71779,0.3382,23.12066,1.06941,1.0,-0.01272,0.03354,0.63797,0.00476,1.0,0.05374,0.03012,0.64576,0.0048,1.0,0.0,0.0,10.0
0.62333,0.11225,402.39432,0.01987,1795.0,1.0,0.72584,0.17287,1.0,0.50592,0.09448,1.0,0.61588,0.13367,1.0,0.44615,0.31865,23.28643,1.06941,1.0,0.71782,0.33818,23.12215,1.06941,1.0,-0.01272,0.03354,0.63797,0.00476,1.0,0.05374,0.03012,0.64576,0.0048,1.0,0.0,0.0,10.0
0.62246,0.11315,402.39432,0.0264,1795.0,1.0,0.73593,0.13255,1.0,0.50203,0.10095,1.0,0.61898,0.11675,1.0,0.44614,0.31868,23.36107,1.07717,1.0,0.71782,0.33821,23.03768,1.07717,1.0,-0.01307,0.03463,0.65782,0.00497,1.0,0.05374,0.03008,0.64576,0.00481,1.0,0.0,0.0,10.0
0.62142,0.11163,402.39432,0.03323,1795.0,1.0,0.72885,0.1039,1.0,0.50364,0.10415,1.0,0.61625,0.10402,1.0,0.44623,0.31869,23.41891,1.08494,1.0,0.71792,0.33825,22.87149,1.08494,1.0,-0.01307,0.03463,0.65782,0.00497,1.0,0.05374,0.03008,0.64576,0.00481,1.0,0.0,0.0,10.0
0.61948,0.11062,402.39432,0.03976,1795.0,1.0,0.72863,0.10517,1.0,0.48705,0.10397,1.0,0.60784,0.10457,1.0,0.44626,0.31874,23.64222,1.0927,1.0,0.7179,0.33827,22.96344,1.0927,1.0,-0.01307,0.03463,0.65782,0.00497,1.0,0.05374,0.03008,0.64576,0.00481,1.0,0.0,0.0,10.0
0.61837,0.10791,402.39432,0.04691,1795.0,1.0,0.73818,0.06649,1.0,0.48293,0.11136,1.0,0.61056,0.08893,1.0,0.44628,0.31877,23.70505,1.10046,1.0,0.71792,0.33825,22.87149,1.10046,1.0,-0.01307,0.03463,0.65782,0.00515,1.0,0.05374,0.03008,0.64576,0.00488,1.0,0.0,0.0,10.0
0.62462,0.08585,402.39432,0.05292,1795.0,1.0,0.85487,-0.26467,1.0,0.49437,0.08341,1.0,0.67462,-0.09063,1.0,0.44628,0.31879,23.64169,1.10046,1.0,0.71796,0.33829,22.83838,1.10046,1.0,-0.01307,0.03463,0.65782,0.00515,1.0,0.05374,0.03008,0.64576,0.00488,1.0,0.0,0.0,10.0
0.62764,0.07024,402.39432,0.06024,1795.0,1.0,0.8255,-0.20867,1.0,0.48414,0.0683,1.0,0.65482,-0.07018,1.0,0.44638,0.31885,23.56628,1.10046,1.0,0.71801,0.33839,22.91026,1.10046,1.0,-0.01307,0.03463,0.65782,0.00515,1.0,0.05374,0.03008,0.64576,0.00488,1.0,0.0,0.0,10.0
0.63011,0.05748,402.39432,0.06702,1795.0,1.0,0.8255,-0.20867,1.0,0.48414,0.0683,1.0,0.65482,-0.07018,1.0,0.44639,0.31884,23.58556,1.10046,1.0,0.718,0.33839,22.91659,1.10046,1.0,-0.01309,0.03463,0.65876,0.00513,1.0,0.05374,0.03008,0.64576,0.00489,1.0,0.0,0.0,10.0
0.63212,0.04604,402.39432,0.0737,1795.0,1.0,0.82424,-0.21876,1.0,0.48425,0.05932,1.0,0.65424,-0.07972,1.0,0.44643,0.31886,23.48755,1.10046,1.0,0.71809,0.33855,22.97957,1.10046,1.0,-0.01309,0.03463,0.65876,0.00513,1.0,0.05374,0.03008,0.64576,0.00489,1.0,0.0,0.0,10.0
0.63427,0.04107,402.39432,0.08014,1795.0,1.0,0.82309,-0.18468,1.0,0.49712,0.14741,1.0,0.6601,-0.01864,1.0,0.44641,0.31894,23.48933,1.10046,1.0,0.71809,0.33854,22.94276,1.10046,1.0,-0.01309,0.03463,0.65876,0.00513,1.0,0.05374,0.03008,0.64576,0.00489,1.0,0.0,0.0,10.0
0.63612,0.0368,402.39432,0.0867,1795.0,1.0,0.82309,-0.18468,1.0,0.49712,0.14741,1.0,0.6601,-0.01864,1.0,0.44648,0.31893,23.53044,1.10046,1.0,0.71806,0.33857,23.06948,1.10046,1.0,-0.01309,0.03463,0.65876,0.00512,1.0,0.05374,0.03003,0.64576,0.00492,1.0,0.0,0.0,10.0
0.63724,0.03268,402.39432,0.09317,1795.0,1.0,0.81047,-0.19496,1.0,0.49533,0.14483,1.0,0.6529,-0.02506,1.0,0.44649,0.31897,23.50568,1.10046,1.0,0.71807,0.33854,22.93528,1.10046,1.0,-0.01309,0.03463,0.65876,0.00512,1.0,0.05374,0.03003,0.64576,0.00492,1.0,0.0,0.0,10.0
0.64288,0.00076,402.39432,0.09317,1795.0,0.0,0.81125,-0.19924,1.0,0.48751,0.13511,1.0,0.64938,-0.03206,1.0,0.44651,0.3189,23.40959,1.10046,1.0,0.71818,0.33866,23.05532,1.10046,1.0,-0.01309,0.03463,0.65876,0.00512,1.0,0.05374,0.03003,0.64576,0.00492,1.0,0.0,0.0,10.0
0.64431,-0.00613,402.39432,0.09317,1795.0,0.0,0.80001,-0.15435,1.0,0.49147,0.12831,1.0,0.64574,-0.01302,1.0,0.44651,0.3189,23.40959,1.0927,1.0,0.71809,0.33867,23.29986,1.0927,1.0,-0.01275,0.03382,0.64424,0.00494,1.0,0.05317,0.02965,0.63769,0.00487,1.0,0.0,0.0,10.0
0.64189,0.00604,402.39432,0.09317,1795.0,0.0,0.77329,-0.04256,1.0,0.50083,0.10331,1.0,0.63706,0.03038,1.0,0.44651,0.3189,23.40959,1.08494,1.0,0.71814,0.33871,23.2931,1.08494,1.0,-0.01275,0.03382,0.64424,0.00494,1.0,0.05317,0.02965,0.63769,0.00487,1.0,0.0,0.0,10.0
0.63989,0.01381,402.49454,0.02017,1796.0,1.0,0.76486,-0.01725,1.0,0.50293,0.09146,1.0,0.6339,0.0371,1.0,0.44654,0.31886,23.49584,1.07717,1.0,0.71813,0.33876,23.39918,1.07717,1.0,-0.01275,0.03382,0.64424,0.00494,1.0,0.05317,0.02965,0.63769,0.00487,1.0,0.0,0.0,10.0
0.63829,0.01915,402.49454,0.0267,1796.0,1.0,0.76486,-0.01725,1.0,0.4989,0.09827,1.0,0.63188,0.04051,1.0,0.44652,0.3189,23.39865,1.07717,1.0,0.71813,0.33876,23.39918,1.08514,1.0,-0.01295,0.03448,0.65676,0.00497,1.0,0.05528,0.0308,0.66246,0.00505,1.0,0.0,0.0,10.0
0.63717,0.0162,402.49454,0.03375,1796.0,1.0,0.77194,-0.09781,1.0,0.49114,0.10069,1.0,0.63154,0.00144,1.0,0.44655,0.3188,23.01992,1.0929,1.0,0.71817,0.33877,23.35728,1.10087,1.0,-0.01295,0.03448,0.65676,0.00497,1.0,0.05528,0.0308,0.66246,0.00505,1.0,0.0,0.0,10.0
0.63487,0.0145,402.49454,0.04016,1796.0,1.0,0.76009,-0.10146,1.0,0.48207,0.11011,1.0,0.62108,0.00432,1.0,0.44665,0.31887,23.02564,1.10863,1.0,0.71826,0.33885,23.38048,1.11659,1.0,-0.01295,0.03448,0.65676,0.00497,1.0,0.05528,0.0308,0.66246,0.00505,1.0,0.0,0.0,10.0
0.63385,0.00916,402.49454,0.04727,1796.0,1.0,0.77969,-0.18186,1.0,0.47372,0.12538,1.0,0.6267,-0.02824,1.0,0.44665,0.31888,23.02118,1.12436,1.0,0.71823,0.33886,23.31302,1.13232,1.0,-0.01295,0.03448,0.65676,0.0051,1.0,0.05528,0.0308,0.66246,0.00525,1.0,0.0,0.0,10.0
0.63305,0.00388,402.49454,0.0538,1796.0,1.0,0.78628,-0.20886,1.0,0.46714,0.13222,1.0,0.62671,-0.03832,1.0,0.4467,0.31887,23.06237,1.13232,1.0,0.71829,0.33886,23.37583,1.13232,1.0,-0.01295,0.03448,0.65676,0.0051,1.0,0.05528,0.0308,0.66246,0.00525,1.0,0.0,0.0,10.0
0.6369,-0.01029,402.49454,0.06067,1796.0,1.0,0.87622,-0.40046,1.0,0.4668,0.12468,1.0,0.67151,-0.13789,1.0,0.44674,0.31886,23.01408,1.13232,1.0,0.71836,0.33885,23.38004,1.13232,1.0,-0.01295,0.03448,0.65676,0.0051,1.0,0.05528,0.0308,0.66246,0.00525,1.0,0.0,0.0,10.0
0.64005,-0.02189,402.49454,0.06702,1796.0,1.0,0.87622,-0.40046,1.0,0.4668,0.12468,1.0,0.67151,-0.13789,1.0,0.44673,0.31885,23.25676,1.13232,1.0,0.71834,0.33884,23.44114,1.13232,1.0,-0.01295,0.03448,0.65676,0.00519,1.0,0.05528,0.0308,0.66246,0.00528,1.0,0.0,0.0,10.0
0.64105,-0.02825,402.49454,0.07404,1796.0,1.0,0.87478,-0.39233,1.0,0.42949,0.19608,1.0,0.65214,-0.09812,1.0,0.44683,0.31878,23.17188,1.13232,1.0,0.71839,0.33886,23.3901,1.13232,1.0,-0.01295,0.03448,0.65676,0.00519,1.0,0.05528,0.0308,0.66246,0.00528,1.0,0.0,0.0,10.0
0.64279,-0.03177,402.49454,0.08035,1796.0,1.0,0.85255,-0.34374,1.0,0.47459,0.19558,1.0,0.66357,-0.07408,1.0,0.44695,0.31866,23.37237,1.13232,1.0,0.71834,0.33885,23.39609,1.13232,1.0,-0.01295,0.03448,0.65676,0.00519,1.0,0.05528,0.0308,0.66246,0.00528,1.0,0.0,0.0,10.0
0.64398,-0.03335,402.49454,0.08691,1796.0,1.0,0.84071,-0.29671,1.0,0.47843,0.18909,1.0,0.65957,-0.05381,1.0,0.44693,0.31866,23.35403,1.12456,1.0,0.71837,0.33887,23.42953,1.12456,1.0,-0.01206,0.03224,0.61412,0.00484,1.0,0.05528,0.0308,0.66246,0.00524,1.0,0.0,0.0,10.0
0.64542,-0.03564,402.49454,0.09378,1796.0,1.0,0.84364,-0.31318,1.0,0.48751,0.17754,1.0,0.66557,-0.06782,1.0,0.44697,0.31866,23.34432,1.1168,1.0,0.71845,0.33885,23.30678,1.1168,1.0,-0.01206,0.03224,0.61412,0.00484,1.0,0.05528,0.0308,0.66246,0.00524,1.0,0.0,0.0,10.0
0.64544,-0.03335,402.49454,0.10077,1796.0,1.0,0.80042,-0.17039,1.0,0.49108,0.17246,1.0,0.64575,0.00104,1.0,0.44698,0.31865,23.34177,1.10904,1.0,0.71846,0.33889,23.405,1.10904,1.0,-0.01206,0.03224,0.61412,0.00484,1.0,0.05528,0.0308,0.66246,0.00524,1.0,0.0,0.0,10.0
0.64525,-0.03022,402.49454,0.10757,1796.0,1.0,0.78958,-0.1269,1.0,0.49478,0.16654,1.0,0.64218,0.01982,1.0,0.44698,0.31872,23.55585,1.10128,1.0,0.71847,0.3389,23.40458,1.10128,1.0,-0.01206,0.03224,0.61412,0.00478,1.0,0.05528,0.0308,0.66246,0.00512,1.0,0.0,0.0,10.0
0.6448,-0.02809,402.49454,0.11392,1796.0,1.0,0.79279,-0.1512,1.0,0.48127,0.16744,1.0,0.63703,0.00812,1.0,0.44703,0.31872,23.55692,1.10128,1.0,0.71847,0.33889,23.44036,1.10128,1.0,-0.01206,0.03224,0.61412,0.00478,1.0,0.05528,0.0308,0.66246,0.00512,1.0,0.0,0.0,10.0
0.64422,-0.02642,402.49454,0.12057,1796.0,1.0,0.79374,-0.16194,1.0,0.47381,0.16921,1.0,0.63378,0.00363,1.0,0.44703,0.31872,23.55692,1.10128,1.0,0.71846,0.33885,23.29276,1.10128,1.0,-0.01206,0.03224,0.61412,0.00478,1.0,0.05528,0.0308,0.66246,0.00512,1.0,0.0,0.0,10.0
0.64397,-0.02601,402.49454,0.12686,1796.0,1.0,0.80456,-0.20547,1.0,0.47392,0.16902,1.0,0.63924,-0.01822,1.0,0.44705,0.31875,23.64247,1.10904,1.0,0.71849,0.33895,23.48181,1.10107,1.0,-0.01291,0.03463,0.65968,0.00519,1.0,0.05385,0.02998,0.64471,0.005,1.0,0.0,0.0,10.0
0.64371,-0.02521,402.49454,0.13376,1796.0,1.0,0.79985,-0.18909,1.0,0.47742,0.17089,1.0,0.63863,-0.0091,1.0,0.44702,0.31872,23.4975,1.10883,1.0,0.71849,0.33887,23.53025,1.10087,1.0,-0.01291,0.03463,0.65968,0.00519,1.0,0.05385,0.02998,0.64471,0.005,1.0,0.0,0.0,10.0
0.64323,-0.02361,402.49454,0.14047,1796.0,1.0,0.78905,-0.15054,1.0,0.47707,0.17046,1.0,0.63306,0.00996,1.0,0.44706,0.31874,23.63291,1.10863,1.0,0.71853,0.33888,23.41357,1.10066,1.0,-0.01291,0.03463,0.65968,0.00519,1.0,0.05385,0.02998,0.64471,0.005,1.0,0.0,0.0,10.0
0.64278,-0.02213,402.49454,0.14719,1796.0,1.0,0.78878,-0.14942,1.0,0.47718,0.17028,1.0,0.63298,0.01043,1.0,0.44707,0.31872,23.5508,1.10842,1.0,0.71856,0.33893,23.4542,1.10046,1.0,-0.01291,0.03473,0.65968,0.00517,1.0,0.05385,0.02998,0.64471,0.00499,1.0,0.0,0.0,10.0
0.64242,-0.0216,402.49454,0.1539,1796.0,1.0,0.79746,-0.18171,1.0,0.47054,0.1627,1.0,0.634,-0.0095,1.0,0.44707,0.31871,23.57256,1.10046,1.0,0.71861,0.33889,23.61477,1.10046,1.0,-0.01291,0.03473,0.65968,0.00517,1.0,0.05385,0.02998,0.64471,0.00499,1.0,0.0,0.0,10.0
0.64193,-0.02095,402.49454,0.16077,1796.0,1.0,0.7891,-0.17935,1.0,0.47123,0.1687,1.0,0.63016,-0.00533,1.0,0.44711,0.3188,23.5211,1.10046,1.0,0.71861,0.33891,23.51203,1.10046,1.0,-0.01291,0.03473,0.65968,0.00517,1.0,0.05385,0.02998,0.64471,0.00499,1.0,0.0,0.0,10.0
0.64147,-0.02035,402.49454,0.16733,1796.0,1.0,0.7891,-0.17935,1.0,0.47123,0.1687,1.0,0.63016,-0.00533,1.0,0.4471,0.3188,23.52328,1.10046,1.0,0.71858,0.339,23.67753,1.10046,1.0,-0.01291,0.03473,0.65968,0.00512,1.0,0.05385,0.02998,0.64471,0.00504,1.0,0.0,0.0,10.0
0.64017,-0.01702,402.49454,0.17435,1796.0,1.0,0.7447,-0.02552,1.0,0.46784,0.16488,1.0,0.60627,0.06968,1.0,0.44712,0.3188,23.54973,1.10046,1.0,0.71868,0.33906,23.59182,1.10046,1.0,-0.01291,0.03473,0.65968,0.00512,1.0,0.05385,0.02998,0.64471,0.00504,1.0,0.0,0.0,10.0
0.63959,-0.0163,402.49454,0.18076,1796.0,1.0,0.78255,-0.16487,1.0,0.46536,0.17076,1.0,0.62395,0.00294,1.0,0.44712,0.31879,23.549,1.10046,1.0,0.71865,0.33887,23.60246,1.10046,1.0,-0.01291,0.03473,0.65968,0.00512,1.0,0.05385,0.02998,0.64471,0.00504,1.0,0.0,0.0,10.0
0.63905,-0.01564,402.49454,0.18735,1796.0,1.0,0.78255,-0.16487,1.0,0.46536,0.17076,1.0,0.62395,0.00294,1.0,0.44712,0.31879,23.549,1.10046,1.0,0.71865,0.33888,23.61711,1.10046,1.0,-0.01291,0.03473,0.65968,0.00513,1.0,0.05385,0.02998,0.64471,0.00503,1.0,0.0,0.0,10.0
0.63959,-0.01606,402.49454,0.19424,1796.0,1.0,0.84456,-0.22515,1.0,0.46594,0.16843,1.0,0.65525,-0.02836,1.0,0.44714,0.31878,23.47084,1.10046,1.0,0.71868,0.33896,23.52462,1.10046,1.0,-0.01291,0.03473,0.65968,0.00513,1.0,0.05385,0.02998,0.64471,0.00503,1.0,0.0,0.0,10.0
0.63895,-0.01499,402.49454,0.20102,1796.0,1.0,0.76817,-0.12633,1.0,0.47118,0.16067,1.0,0.61967,0.01717,1.0,0.44712,0.31882,23.50212,1.10046,1.0,0.71865,0.33888,23.61711,1.10046,1.0,-0.01291,0.03473,0.65968,0.00513,1.0,0.05385,0.02998,0.64471,0.00503,1.0,0.0,0.0,10.0
